	x	y
R1661	62.2926421901	40.0295333141
R1662	59.2034756073	41.2706776667
R1663	65.2563927704	32.8541041237
R1664	62.4447424979	35.4149992261
R1665	72.4624062907	27.6242638254
R1666	69.9194262552	29.3110927191
R1667	77.7628590782	23.4913735562
R1668	72.7784101997	26.9005353695
R1669	65.198316667	33.0271717859
R1670	69.4598588916	30.1970315053
R1671	59.3150555205	12.3543136666
R1672	51.487713355	20.8436106875
R1673	57.1124475509	15.3217851726
R1674	50.2244178157	19.1709698793
R1675	50.4338611907	18.5348708515
R1676	56.3803054046	14.7884597101
R1677	54.8635045999	14.009611915
R1678	45.4998576493	3.98542629287
R1679	49.9367453057	21.5900969196
R1680	53.8098729164	17.7664144512
R1681	59.8526782804	9.03994992133
R1682	48.1756567942	19.5212153543
R1683	50.7417190667	17.8384056087
R1684	58.4597612975	14.1486628546
R1685	50.1145975193	1.74146171252
R1686	45.4203820755	5.37240899542
R1687	51.3532681954	0.30387242055
R1688	53.091704424	19.2900304453
R1689	58.9431665444	11.6128777918
R1690	59.3109904219	10.5721363739
R1691	68.2221986595	1.13388036584
R1692	62.5117719862	7.49123248279
R1693	69.3800563617	1.48813233299
R1694	82.8002478704	18.5293762368
R1695	85.1603321777	15.0183695439
R1696	67.095847697	0.601490941965
R1697	62.307750573	5.74997471945
R1698	59.9704150458	7.9133104735
R1699	39.9116351739	32.1440226145
R1700	39.5965009783	32.1361317349
R1701	95.5934163965	33.2341293953
R1702	52.772288113	99.6134716833
R1703	53.1786144535	98.6038611855
R1704	37.6270534612	93.060672952
R1705	65.8155400946	95.5883740582
R1706	65.6722651618	91.9334018119
R1707	39.002716451	92.26183816
R1708	37.7953028026	93.5324553607
R1709	35.5139005857	89.5991901138
R1710	39.2194529062	83.5434818364
R1711	31.5882013862	77.0280524208
R1712	32.6577782482	80.1138612983
R1713	31.6415992679	77.6108331874
R1714	30.9871426099	63.9440280336
R1715	27.4396322054	65.7444629564
R1716	30.5783699449	65.5219454667
R1717	28.809401637	59.6210044666
R1718	27.9395185786	50.9850621313
R1719	33.8499497887	46.2844744465
R1720	32.628463049	54.0637204929
R1721	32.4386500903	49.9030194916
R1722	35.8382920833	53.3514883396
R1723	37.1420429198	49.7419879519
R1724	34.6445467746	54.4441077764
R1725	35.675404696	49.6256433471
R1726	64.99458547	49.4621728312
R1727	66.1291498342	61.6437178853
R1728	65.790651882	55.9453737171
R1729	67.5017806138	60.8502274659
R1730	67.6295142176	61.4291060701
R1731	63.9100640599	62.9723349305
R1732	66.5493579687	67.7255886599
R1733	64.0515417112	48.8200939835
R1734	68.1932895833	46.5435408096
R1735	65.2783891952	44.8203529292
R1736	34.9976613883	28.6329939351
R1737	33.9237661692	53.5586885227
R1738	66.0044543688	52.6846691452
R1739	37.0232562464	32.1184816794
R1740	34.6982700852	36.4753541349
R1741	34.8634441715	30.9392745218
R1742	31.0900650789	32.3837547196
R1743	34.9213061465	35.4184380529
R1744	30.343361183	32.5245631742
R1745	35.4833288685	44.4916349303
R1746	33.2349104271	38.502483721
R1747	35.4399436182	47.7975176939
R1748	33.8735095227	37.056028453
R1749	28.5641377966	34.6263997171
R1750	31.3195486706	31.6639905316
R1751	30.796174379	23.5190343602
R1752	34.2333554347	22.4959116015
R1753	36.6307877065	31.4768312621
R1754	34.5486191018	26.1110878654
R1755	37.5196356	29.2676058936
R1756	62.4256973267	34.0442062707
R1757	64.320383794	31.7856294846
R1758	65.4455325117	43.2734991936
R1759	64.3256315887	41.6159763773
R1760	65.264338195	35.7175447772
R1761	66.388704175	38.8447443366
R1762	68.1914228192	45.1694864796
R1763	68.5406624515	48.4385263389
R1764	67.6614312657	51.0685845873
R1765	68.6755160534	50.465234811
R1766	69.0817099788	55.4740530987
R1767	69.048716493	66.3660457477
R1768	67.3082233775	71.5902965807
R1769	38.714899408	76.3969778172
R1770	35.5480948795	89.3049758407
R1771	36.7106729424	86.0749670003
R1772	64.9126624396	87.6457960566
R1773	66.0641357377	89.2086685815
R1774	64.9359294757	87.0721381174
R1775	67.0265507063	76.2225153324
R1776	65.3140322257	77.9387440331
R1777	64.2952177764	84.1258572133
R1778	38.7980121423	74.6106304299
R1779	34.6757573144	79.6375987743
R1780	30.7192619427	58.812060082
R1781	34.1051509268	64.1291972267
R1782	33.4233718511	67.0957433613
R1783	66.3138096741	98.9310270371
R1784	65.3096314498	98.1651568396
R1785	65.7140760682	99.2837639519
R1786	67.5934531877	90.9519098246
R1787	66.3880173202	89.2812304744
R1788	67.8061881135	91.6881773501
R1789	70.9626103129	86.5181213517
R1790	71.9936371714	78.8209480695
R1791	72.4798343312	80.8006830564
R1792	74.0784292286	72.9515308522
R1793	72.0362880189	69.7160484161
R1794	72.9981862717	59.6656447092
R1795	74.8121312339	57.5898837631
R1796	73.0273050243	46.2741878725
R1797	77.067111934	51.4869181896
R1798	75.0171368727	46.6224426489
R1799	76.6653077326	38.440250966
R1800	77.9158742329	45.9268433826
R1801	73.7420460836	39.1209853231
R1802	75.3298157891	32.8303519164
R1803	63.4104355141	38.377735614
R1804	68.856486669	43.084147214
R1805	66.3377850519	33.3065100022
R1806	64.2037185014	26.6441143003
R1807	64.4986348346	22.863501327
R1808	68.8909906096	27.2962056672
R1809	72.371523338	21.9616397473
R1810	69.7654249704	19.999850454
R1811	68.6213124429	18.9156764428
R1812	64.2977371716	20.4287496884
R1813	66.6992650902	18.5910853404
R1814	67.5445276811	16.4479381344
R1815	63.9469519836	18.6928454476
R1816	64.3881920705	15.7728122808
R1817	65.570045691	23.7657582226
R1818	38.4028368753	19.0468586722
R1819	37.8323600164	14.4694894463
R1820	36.9041611715	13.5838157511
R1821	36.286143052	17.1057707266
R1822	62.7866325947	13.9189931024
R1823	66.8176792234	11.4124971575
R1824	66.755021412	18.0853051378
R1825	65.4155283864	10.4635122068
R1826	36.9463314417	13.5143774996
R1827	37.8254347391	9.60103429534
R1828	36.722837943	9.33330210686
R1829	67.0733217806	6.04921458162
R1830	64.601818107	12.0019169643
R1831	65.4372821806	15.5453860785
R1832	67.0040223792	15.3458266393
R1833	66.7241920702	5.24980548075
R1834	68.3076187632	13.2809165227
R1835	68.7680482759	13.5214565521
R1836	74.1672717461	5.34988087254
R1837	64.9003579699	16.2452583689
R1838	68.7634335463	8.70057294385
R1839	66.8169139163	12.2732943361
R1840	67.3093466467	0.217006270014
R1841	34.7318293093	19.6017950724
R1842	33.6744421497	26.09049021
R1843	75.6272550236	37.128751949
R1844	40.6101254225	89.1362398699
R1845	39.1143664549	96.4817513202
R1846	34.5838289299	89.5889019877
