	FL1-A	FL2-A
V9676	1100	3308
V9677	688	1003834
V9678	1547	4166
V9679	2071	5570
V9680	2423	6110
V9681	1741	5517
V9682	2158	6256
V9683	2510	6842
V9684	2798	5847
V9685	348	364
V9686	1459	3759
V9687	1949	6209
V9688	312	769
V9689	2344	6405
V9690	2751	9780
V9691	4382	9108
V9692	2394	6948
V9693	1582	4785
V9694	1858	2354
V9695	299278	6750
V9696	2258	6558
V9697	1226	2971
V9698	1652	5175
V9699	2040	4693
V9700	2560	4252
V9701	1461	4334
V9702	2495	6636
V9703	1376	4539
V9704	1665	4369
V9705	1685	3262
V9706	1278	4386
V9707	367	441
V9708	1363	4676
V9709	1718	5667
V9710	1905	5109
V9711	2565	6178
V9712	416	11828
V9713	1857	2928
V9714	144620	3268
V9715	2060	5223
V9716	3548	5275
V9717	2502	7437
V9718	407	225
V9719	195	620
V9720	2575	4072
V9721	2497	5588
V9722	2370	7007
V9723	98	1030
V9724	1601	3961
V9725	2159	5237
V9726	2203	6367
V9727	1384	3840
V9728	2371	7610
V9729	1475	4630
V9730	1455	5023
V9731	1934	4328
V9732	1698	5387
V9733	55018	2483
V9734	404	325
V9735	1868	5180
V9736	2476	6461
V9737	282	1201
V9738	1620	5574
V9739	22647	3625
V9740	1245	2761
V9741	476	381
V9742	1591	5357
V9743	1481	4725
V9744	1340	4129
V9745	610	1072
V9746	1911	4982
V9747	1120	3428
V9748	877	2917
V9749	860	3029
V9750	4116	2772
V9751	2887	6714
V9752	3878	5757
V9753	1797	4810
V9754	2338	6675
V9755	3110	9314
V9756	4383	4568
V9757	33171	4408
V9758	2814	6238
V9759	2198	5413
V9760	1400	5534
V9761	385	302
V9762	2017	6041
V9763	1497	5953
V9764	1070	3842
V9765	2496	7321
V9766	1465	4858
V9767	1974	7295
V9768	1312	4083
V9769	2127	7773
V9770	2669	6993
V9771	3129	9625
V9772	1444	4244
V9773	1188	3511
V9774	1675	4953
V9775	1899	4602
V9776	1852	5373
V9777	2317	4956
V9778	74455	7734
V9779	7193	8931
V9780	1440	5082
V9781	1128	3130
V9782	2261	5243
V9783	53605	2715
V9784	1117	3046
V9785	1280	3696
V9786	2018	5762
V9787	2124	5070
V9788	1980	4363
V9789	2188	6611
V9790	3067	8230
V9791	1798	4753
V9792	1650	4046
V9793	1967	4035
V9794	2423	8699
V9795	2305	5216
V9796	1992	5483
V9797	3966	11946
V9798	2419	7708
V9799	12832	9616
V9800	3704	10913
V9801	1386	3663
V9802	3836	7058
V9803	2294	6370
V9804	2447	6268
V9805	105	207
V9806	4214	6036
V9807	2146	5234
V9808	1580	4966
V9809	2711	8976
V9810	473258	9366
V9811	309	463
V9812	392	1425
V9813	2893	2809
V9814	2138	6757
V9815	1126	3472
V9816	2284	6836
V9817	459	497
V9818	1503	5408
V9819	2678	7683
V9820	11665	2266
V9821	9186	30316
V9822	231705	4042
V9823	73602	3585
V9824	1493	3904
V9825	2041	7033
V9826	670	456
V9827	540	274
V9828	1727	5364
V9829	1136	3066
V9830	74445	3292
V9831	2694	8733
V9832	1884	4641
V9833	1117	5138
V9834	1470	3172
V9835	1372	3375
V9836	531	1309
V9837	555	336
V9838	2218	3898
V9839	439213	6620
V9840	1100	3240
V9841	2528	6778
V9842	2195	5813
V9843	1406	5556
V9844	6904	14426
V9845	1563	3730
V9846	604	720
V9847	1914	5925
V9848	280106	5303
V9849	2106	4836
V9850	797	1038
V9851	1938	5147
V9852	2249	5605
V9853	5934	12385
V9854	5143	7152
V9855	183	519
V9856	2096	7515
V9857	2148	5972
V9858	1946	3728
V9859	650	2286
V9860	1451	1066
V9861	2072	3412
V9862	1350	2658
V9863	3200	4879
V9864	1824	4250
V9865	2026	3766
V9866	3026	6173
V9867	1935	6466
V9868	1339	4615
V9869	809	3030
V9870	2030	4870
V9871	2848	6147
V9872	3848	3989
V9873	2145	5270
V9874	1768	5239
V9875	377	628
V9876	1344	4960
V9877	2344	7337
V9878	58047	3357
V9879	1612	5262
V9880	2085	6430
V9881	144772	4542
V9882	2711	7060
V9883	1416	4089
V9884	3143	8326
V9885	4882	6565
V9886	1433	5001
V9887	1601	1282
V9888	2987	2992
V9889	865	3061
V9890	1347	4447
V9891	1270	2716
V9892	918	3025
V9893	3052	7046
V9894	1189	4298
V9895	1760	5402
V9896	1311	5347
V9897	2047	4576
V9898	1601	4809
V9899	2708	6916
V9900	1797	4418
V9901	1740	5326
V9902	219170	7303
V9903	2636	6767
V9904	1975	3955
V9905	1074	3885
V9906	908	1537
V9907	2721	5743
V9908	2192	5211
V9909	77	570
V9910	477	893
V9911	1854	6059
V9912	19348	7797
V9913	401	2284
V9914	1722	4741
V9915	1813	5182
V9916	2099	5438
V9917	1972	5312
V9918	1367	4104
V9919	1798	3275
V9920	3191	8388607
V9921	1444	4695
V9922	644	1815
V9923	218146	5316
V9924	1727	4541
V9925	602	767
V9926	1884	3889
V9927	2336	6483
V9928	1670	4370
V9929	1669	4589
V9930	2421	4267
V9931	1761	3207
V9932	2141	4381
V9933	1820	3873
V9934	469	238
V9935	2884	9682
V9936	1620	4523
V9937	1763	4365
V9938	2537	7212
V9939	1613	5053
V9940	1712	4177
V9941	1780	4781
V9942	2343	4980
V9943	1987	5602
V9944	2151	5555
V9945	573	4306
V9946	2071	7812
V9947	3729	2745
V9948	29840	1862
V9949	27	304
V9950	82353	2108
V9951	1	434
V9952	3219	6573
V9953	1280	4306
V9954	1996	4403
V9955	2832	6475
V9956	1349	3959
V9957	1658	4249
V9958	11267	3354
V9959	1880	3547
V9960	3260	4533
V9961	20	439
V9962	1162	4107
V9963	1195	4112
V9964	1844	4618
V9965	1428	4966
V9966	1576	4745
V9967	2782	7013
V9968	2163	3650
V9969	2026	5894
V9970	1772	3737
V9971	2114	4962
V9972	2331	5586
V9973	2407	7459
V9974	2630	6641
V9975	1395	4759
V9976	2029	6036
V9977	2353	5281
V9978	1313	5812
V9979	2402	6721
V9980	1238	2270
V9981	1927	5136
V9982	198476	3289
V9983	746	2268
V9984	1097	3800
V9985	1316	2752
V9986	1484	4469
V9987	1042	4270
V9988	1908	4775
V9989	2009	4483
V9990	1777	5221
V9991	1055	3737
V9992	1397	3469
V9993	1343	3686
V9994	1572	5089
V9995	1485	4466
V9996	4682	5343
V9997	2915	6046
V9998	977	5498
V9999	4438	8511
V10000	2048	6306
V10001	114	1287
V10002	225634	5873
V10003	30	444
V10004	1665	5675
V10005	1395	3715
V10006	185642	5432
V10007	3940	4395
V10008	1793	4987
V10009	3922	5464
V10010	1575	4635
V10011	2173	5706
V10012	5212	11820
V10013	2013	6551
V10014	1545	3867
V10015	1715	6283
V10016	1280	5716
V10017	4814	9580
V10018	1210	5919
V10019	2012	6734
V10020	2408	5310
V10021	1651	3723
V10022	910	3495
V10023	2760	7151
V10024	1131	3387
V10025	966	2884
V10026	2222	7088
V10027	2398	4421
V10028	4873	11672
V10029	2456	6628
V10030	1987	6194
V10031	623	1485
V10032	1627	4504
V10033	1621	4983
V10034	53594	3489
V10035	3227	6297
V10036	1616	5500
V10037	50	1280
V10038	1469	3998
V10039	7745	14229
V10040	2695	7295
V10041	1513	2584
V10042	4334	10903
V10043	1772	4891
V10044	2319	6286
V10045	2090	5693
V10046	7344	11416
V10047	105	319
V10048	905	3985
V10049	14537	10836
V10050	1314	3757
V10051	2123	4445
V10052	1124	3716
V10053	2253	5833
V10054	2155	5792
V10055	3028	4656
V10056	1857	5054
V10057	1372	4672
V10058	1396	4557
V10059	46974	3044
V10060	1420	585
V10061	2768	6746
V10062	2264	6462
V10063	19	99
V10064	1026	4739
V10065	1640	4951
V10066	2152	2535
V10067	1683	4629
V10068	721	2284
V10069	1512	5462
V10070	158	197
V10071	1774	4715
V10072	1448	4058
V10073	2915	10047
V10074	714	704
V10075	507	728
V10076	5132	2944
V10077	325	538
V10078	30962	3313
V10079	1434	741
V10080	1220	3400
V10081	1572	4236
V10082	2606	6906
V10083	2301	5394
V10084	240	313
V10085	14488	16221
V10086	2567	7426
V10087	1670	3136
V10088	1344	3598
V10089	2459	6807
V10090	2118	4534
V10091	52380	1949
V10092	1512	3832
V10093	2118	6296
V10094	2308	5891
V10095	1846	5751
V10096	6133	4100
V10097	2086	4532
V10098	2022	4928
V10099	2763	6063
V10100	1542	5401
V10101	2086	5594
V10102	4306	6702
V10103	1546	3315
V10104	1255	3719
V10105	1248	2010
V10106	1357	3267
V10107	3563	7234
V10108	2143	5036
V10109	79269	2635
V10110	3413	9671
V10111	1587	4551
V10112	1216	3296
V10113	2182	5753
V10114	1470	4677
V10115	1542	4330
V10116	3353	10375
V10117	2063	4576
V10118	2020	5721
V10119	2466	4565
V10120	2430	6752
V10121	1264	3518
V10122	1834	2725
V10123	914	3734
V10124	3371	5488
V10125	4494	10981
V10126	2298	7070
V10127	2106	6673
V10128	3110	8520
V10129	2078	7032
V10130	1787	2651
V10131	94051	2535
V10132	1761	4903
V10133	1876	6416
V10134	2461	8730
V10135	627	513
V10136	1195	3409
V10137	1583	3471
V10138	1217	2760
V10139	1541	5507
V10140	107230	5230
V10141	3697	5347
V10142	1924	4929
V10143	1096	4632
V10144	2074	6986
V10145	1360	3416
V10146	1753	5070
V10147	2032	5140
V10148	1264	2859
V10149	1113	3016
V10150	1469	4653
V10151	1933	6017
V10152	937	5209
V10153	29714	2616
V10154	1984	4843
V10155	1955	6957
V10156	991	3495
V10157	1834	5088
V10158	2231	4022
V10159	1437	4563
V10160	1799	5685
V10161	2407	5931
V10162	1256	4300
V10163	1163	3135
V10164	987	3895
V10165	2691	9220
V10166	780	2818
V10167	1664	3648
V10168	1721	6244
V10169	938	3290
V10170	1409	5697
V10171	1381	5082
V10172	715	2804
V10173	1194	3703
V10174	849	2197
V10175	1761	5085
V10176	595	3769
V10177	1696	5360
V10178	57	2294
V10179	2183	5848
V10180	2337	3049
V10181	15	1681
V10182	1534	2842
V10183	3234	3404
V10184	1514	4020
V10185	966	2973
V10186	247	363
V10187	1224	3564
V10188	1074	3650
V10189	1831	5548
V10190	1349	4792
V10191	1005	3780
V10192	1750	4636
V10193	209	798
V10194	1972	6312
V10195	601	2131
V10196	1825	6274
V10197	2395	6120
V10198	1578	3666
V10199	1901	4884
V10200	228081	4611
V10201	1974	5453
V10202	2109	5034
V10203	1504	3318
V10204	1202	2123
V10205	190052	5068
V10206	1625	4566
V10207	1050	3953
V10208	1066	2511
V10209	1335	4084
V10210	1779	5536
V10211	1514	4290
V10212	189590	5959
V10213	1188	4712
V10214	1188	2687
V10215	60781	4796
V10216	4093	1871
V10217	100088	2720
V10218	458	502
V10219	3335	6022
V10220	1015	3330
V10221	205	309
V10222	735	2848
V10223	133	534
V10224	1814	5681
V10225	1462	4341
V10226	5418	16613
V10227	4431	4053
V10228	2109	5568
V10229	665	2788
V10230	47	360
V10231	1977	8956
V10232	2426	5241
V10233	1994	4030
V10234	1962	6115
V10235	1026	2878
V10236	1763	4818
V10237	2006	5276
V10238	1550	4808
V10239	592	2655
V10240	116	180
V10241	2991	5442
V10242	1597	3626
V10243	1606	4320
V10244	1710	3643
V10245	1343	771
V10246	1316	4244
V10247	2331	5246
V10248	915	2923
V10249	119	359
V10250	121	627
V10251	2460	3064
V10252	1081	2614
V10253	1795	8243
V10254	2249	2990
V10255	1854	3889
V10256	2966	5806
V10257	277995	6603
V10258	1414	4871
V10259	1697	3901
V10260	7504	6901
V10261	2371	5614
V10262	2115	6520
V10263	1246	3126
V10264	1735	4367
V10265	2221	8400
V10266	1634	3862
V10267	821	5042
V10268	2048	3361
V10269	2132	3184
V10270	1375	5380
V10271	2113	6017
V10272	2304	7602
V10273	2046	5251
V10274	180232	5392
V10275	786	2584
V10276	2814	6749
V10277	1804	6015
V10278	306	286
V10279	152534	4019
V10280	970	1502
V10281	1293	3627
V10282	2196	6223
V10283	2088	7570
V10284	3563	5183
V10285	679	1735
V10286	84	150
V10287	25075	5537
V10288	1722	7289
V10289	2253	6285
V10290	1104	3115
V10291	2001	6168
V10292	1234	1017
V10293	2057	4508
V10294	777	504
V10295	1241	3852
V10296	1800	7536
V10297	1763	4286
V10298	2368	5653
V10299	342	440
V10300	1784	7139
V10301	1045	2840
V10302	1732	5794
V10303	2346	6126
V10304	2492	5862
V10305	2302	8260
V10306	3014	7508
V10307	2271	5325
V10308	1905	5256
V10309	1686	3729
V10310	2067	3936
V10311	2148	3872
V10312	849	7196
V10313	2613	6702
V10314	5593	14571
V10315	4330	13804
V10316	1388	4852
V10317	1107	4545
V10318	1790	4789
V10319	2899	5707
V10320	1810	3906
V10321	832	2079
V10322	222	11
V10323	2960	8524
V10324	3378	10519
V10325	1542	4167
V10326	507	442
V10327	2327	4878
V10328	1254	3251
V10329	2461	5164
V10330	1705	5152
V10331	1523	5252
V10332	2458	3297
V10333	1426	4658
V10334	891	1985
V10335	828	1044
V10336	1464	5484
V10337	2624	8182
V10338	2586	8630
V10339	452	2263
V10340	2057	6544
V10341	1371	3703
V10342	1708	5269
V10343	263	457
V10344	827	2327
V10345	4072	8824
V10346	2087	6460
V10347	3688	5455
V10348	985	896
V10349	2002	6278
V10350	232	976
V10351	1705	4647
V10352	2100	4653
V10353	1652	5445
V10354	410303	6383
V10355	2261	7017
V10356	1955	6099
V10357	107185	5333
V10358	2507	5600
V10359	2457	6306
V10360	21404	2543
V10361	179	343
V10362	1444	4797
V10363	2295	7182
V10364	1750	5471
V10365	2488	7138
V10366	8103	3108
V10367	2226	6110
V10368	2625	8415
V10369	1527	1280
V10370	1483	3934
V10371	1807	4349
V10372	2520	6829
V10373	2458	7258
V10374	1711	5681
V10375	1379	3483
V10376	1966	3996
V10377	2304	6203
V10378	1229	3001
V10379	1774	5304
V10380	2480	7115
V10381	7400	3123
V10382	628	712
V10383	19	371
V10384	29893	2906
V10385	137	201
V10386	1640	5041
V10387	12	197
V10388	254	1189
V10389	31009	2841
V10390	1983	4319
V10391	812	3932
V10392	1647	3464
V10393	2649	6234
V10394	5154	11048
V10395	3273	4981
V10396	1937	5993
V10397	789	1068
V10398	2085	6192
V10399	14462	53698
V10400	427	573
V10401	148505	4445
V10402	6864	9929
V10403	5017	4479
V10404	394	420
V10405	1683	2951
V10406	1987	5464
V10407	2395	5037
V10408	3023	7353
V10409	2227	6982
V10410	1032	5553
V10411	2173	4300
V10412	93	358
V10413	1164	19794
V10414	1295	2672
V10415	306042	5250
V10416	1424	4439
V10417	2114	5744
V10418	2696	7038
V10419	943	1443
V10420	232	105
V10421	810	1003
V10422	1575	3529
V10423	5650	11058
V10424	2048	6241
V10425	36064	5693
V10426	2232	6801
V10427	2098	5424
V10428	46886	4484
V10429	231	275
V10430	1965	5422
V10431	2102	5645
V10432	2522	5309
V10433	1608	5537
V10434	2283	4637
V10435	1458	2564
V10436	1216	3665
V10437	2341	5220
V10438	1595	5103
V10439	1722	3500
V10440	1238	6027
V10441	1071	3168
V10442	1400	4755
V10443	1738	4392
V10444	2824	7048
V10445	448079	61421
V10446	1215	3619
V10447	1625	5168
V10448	1303	4318
V10449	2912	6051
V10450	2327	6818
V10451	1490	3199
V10452	2073	4553
V10453	1987	5528
V10454	2405	7005
V10455	2980	7846
V10456	32	351
V10457	322	854
V10458	1646	4474
V10459	1975	4832
V10460	2132	5568
V10461	1087	2991
V10462	476	974
V10463	1727	5698
V10464	1382	3976
V10465	1592	3785
V10466	6481	3942
V10467	2778	5650
V10468	1631	4832
V10469	1747	3784
V10470	1243	3739
V10471	1956	5623
V10472	2037	4660
V10473	3048	8708
V10474	3615	5913
V10475	2007	5456
V10476	773	4366
V10477	1105	4124
V10478	1401	4218
V10479	1978	4843
V10480	3528	9306
V10481	23228	3624
V10482	1173	4667
V10483	1741	5004
V10484	6669	10869
V10485	1676	3921
V10486	1605	5730
V10487	1645	5761
V10488	1587	4768
V10489	1509	3765
V10490	1509	2802
V10491	3500	4348
V10492	1071	3814
V10493	4871	13778
V10494	2693	6663
V10495	15189	3924
V10496	1107	4258
V10497	192022	4312
V10498	2161	6127
V10499	1169	3275
V10500	2053	4927
V10501	1842	4685
V10502	1118	3101
V10503	2161	5095
V10504	1676	3857
V10505	2084	6314
V10506	722	945
V10507	37200	3776
V10508	10501	33481
V10509	1790	4301
V10510	1900	5534
V10511	1717	4579
V10512	353	632
V10513	2710	5504
V10514	3266	5048
V10515	2027	4823
V10516	1984	4890
V10517	2226	7058
V10518	2097	5809
V10519	1590	4953
V10520	763	5289
V10521	334	360
V10522	1322	3748
V10523	235	552
V10524	9568	37329
V10525	2616	6252
V10526	1837	4174
V10527	2276	5862
V10528	1876	4872
V10529	2252	3598
V10530	971	2847
V10531	1535	4748
V10532	1477	4576
V10533	2017	4808
V10534	1663	5055
V10535	2029	5230
V10536	145	354
V10537	735	2374
V10538	222	202
V10539	1652	5822
V10540	2633	6630
V10541	1983	4534
V10542	2858	7100
V10543	1223	3615
V10544	1245	3050
V10545	2864	8470
V10546	1750	3995
V10547	2382	6697
V10548	11670	7952
V10549	2253	3944
V10550	1472	4453
V10551	1884	3960
V10552	2266	5627
V10553	363	439
V10554	3639	9897
V10555	4177	14584
V10556	1397	3286
V10557	1626	4380
V10558	1691	4762
V10559	1807	4375
V10560	1627	4041
V10561	1367	4395
V10562	1214	3336
V10563	1326	3162
V10564	287	216
V10565	1118	3763
V10566	1776	4372
V10567	1798	5327
V10568	1069	1306
V10569	2350	6490
V10570	1623	2639
V10571	66595	3419
V10572	819	502354
V10573	1365	4993
V10574	21880	4904
V10575	780	564
V10576	1206	4204
V10577	2173	4489
V10578	1326	3756
V10579	19830	4941
V10580	5206	4928
V10581	1547	4842
V10582	1706	6692
V10583	3594	11525
V10584	1603	789
V10585	339	414
V10586	1299	3101
V10587	3118	6093
V10588	1227	4308
V10589	1593	4679
V10590	1581	6973
V10591	1897	4450
V10592	2185	6301
V10593	294	365
V10594	1435	3373
V10595	2237	6149
V10596	942	3659
V10597	1155	3988
V10598	2031	4314
V10599	1980	8076
V10600	1492	3394
V10601	416551	6890
V10602	701	713
V10603	1879	4746
V10604	1961	6068
V10605	151072	3751
V10606	460	351
V10607	2625	6706
V10608	2229	4472
V10609	137	799
V10610	1680	4515
V10611	3324	6229
V10612	2165	4510
V10613	930	3256
V10614	1982	6413
V10615	1567	2648
V10616	1503	3604
V10617	1886	6119
V10618	2957	7072
V10619	1400	4539
V10620	2061	5474
V10621	2118	3431
V10622	2723	6982
V10623	106	884
V10624	45	249
V10625	7	223
V10626	33096	2631
V10627	193	414
V10628	1489	4569
V10629	2273	6423
V10630	2157	6924
V10631	2060	4993
V10632	901	2629
V10633	1607	6014
V10634	1282	3790
V10635	1594	5113
V10636	1560	2412
V10637	1718	4614
V10638	254	1116
V10639	1988	6279
V10640	4098	4263
V10641	1388	5894
V10642	2686	5732
V10643	1481	8056
V10644	10769	32980
V10645	4032	9092
V10646	185136	4020
V10647	1417	4376
V10648	3102	919
V10649	1914	4319
V10650	2043	5553
V10651	265	250
V10652	2470	6610
V10653	1659	5498
V10654	1018	2851
V10655	244	856
V10656	1637	5078
V10657	1989	4589
V10658	331714	6140
V10659	4189	5964
V10660	1540	4536
V10661	2397	7997
V10662	1290	4440
V10663	426	728
V10664	2201	6594
V10665	19374	5234
V10666	1334	5120
V10667	3419	8925
V10668	1395	2360
V10669	1646	3785
V10670	644	74
V10671	151405	3532
V10672	927	3590
V10673	1734	5675
V10674	1986	6732
V10675	1908	6013
V10676	2193	5436
V10677	2370	7128
V10678	872	817
V10679	2809	4053
V10680	5443	10122
V10681	1922	5904
V10682	1553	4695
V10683	935	4902
V10684	225	136
V10685	1646	4994
V10686	1632	4971
V10687	1518	4277
V10688	1360	4366
V10689	1930	4324
V10690	401	68
V10691	2133	6035
V10692	2578	5840
V10693	380	803
V10694	56	237
V10695	1695	4808
V10696	4576	11352
V10697	1123	3582
V10698	1367	3250
V10699	2022	6396
V10700	20353	3239
V10701	2672	5129
V10702	2805	7838
V10703	1869	5714
V10704	1237	5392
V10705	2149	5046
V10706	1335	6275
V10707	345	429
V10708	3504	2505
V10709	4931	9628
V10710	1727	3122
V10711	208	710
V10712	1812	3367
V10713	395	644
V10714	1616	4962
V10715	2340	6733
V10716	1353	1225
V10717	425880	7928
V10718	1424	3986
V10719	1408	4999
V10720	1613	3844
V10721	3399	6757
V10722	131604	2199
V10723	1404	5153
V10724	114446	3862
V10725	1254	3556
V10726	2484	5514
V10727	1864	5368
V10728	2644	2652
V10729	1603	4431
V10730	4356	4531
V10731	1736	4251
V10732	1507	4927
V10733	1941	4992
V10734	268	1293
V10735	1030	3127
V10736	372	403
V10737	377	584
V10738	1397	2285
V10739	669	969
V10740	1452	4200
V10741	148094	4731
V10742	1728	5731
V10743	1312	3467
V10744	4449	7369
V10745	1224	4436
V10746	1556	4988
V10747	609	3036
V10748	451	1155
V10749	174	879
V10750	2040	3416
V10751	673	1079
V10752	1364	3483
V10753	1079	1800
V10754	1235	6485
V10755	1462	4878
V10756	149332	3318
V10757	1516	4196
V10758	431	440
V10759	10295	4245
V10760	1779	3893
V10761	94830	3048
V10762	615	2981
V10763	1115	3642
V10764	41	604
V10765	29	225
V10766	1075	4549
V10767	20503	7161
V10768	952	3253
V10769	1798	3229
V10770	1754	5243
V10771	897	3473
V10772	1072	1900
V10773	350	641
V10774	804	2541
V10775	1101	2896
V10776	45	1287
V10777	539	2785
V10778	284	769
V10779	37	1065
V10780	2397	2766
V10781	33	1021
V10782	1318	4833
V10783	2248	524
V10784	350	622
V10785	1047	2732
V10786	637	2168
V10787	293	770
V10788	488	2652
V10789	492	1090
V10790	470	595
V10791	5679	572
V10792	9019	8119
V10793	1315	3379
V10794	3475	10766
V10795	113	599
V10796	392	835
V10797	400	1265
V10798	1345	2354
V10799	379	767
V10800	456	2232
V10801	75	264
V10802	169	32
V10803	622	3103
V10804	1391	4881
V10805	2583	712
V10806	73216	3498
V10807	494	1445
V10808	69946	1540
V10809	113	421
V10810	41	690
V10811	16	447
V10812	259	1695
V10813	1375	3544
V10814	894	2076
V10815	53	3961
V10816	342	1228
V10817	365	311
V10818	469	116
V10819	133	805
V10820	463	2933
V10821	834	2148
V10822	146	419
V10823	621	256
V10824	814	2392
V10825	538	594
V10826	544	1863
V10827	1294	3802
V10828	957	2690
V10829	82	1576
V10830	182	2488
V10831	70	919
V10832	313	1405
V10833	434	1337
V10834	1015	4306
V10835	1039	2349
V10836	842	2159
V10837	801	1735
V10838	510	11
V10839	12	1548
V10840	966	1448
V10841	293	865
V10842	397	620
V10843	109	1066
V10844	743	594
V10845	1572	3085
V10846	1670	4963
V10847	72	629
V10848	247	1120
V10849	311	145
V10850	1386	1156
V10851	115	313
V10852	691	2378
V10853	318	1904
V10854	773	3258
V10855	131	359
V10856	783	2958
V10857	572	1773
V10858	20	1941
V10859	166	21
V10860	249	243
V10861	192	683
V10862	497	582
V10863	1193	54
V10864	1468	3161
V10865	1081	1356
V10866	413	2255
V10867	990	1486
V10868	573	1481
V10869	6206	1042
V10870	989	2716
V10871	910	1756
V10872	1536	4025
V10873	182	1379
V10874	1235	1862
V10875	1304	2348
V10876	83134	1840
V10877	1892	4056
V10878	1773	5463
V10879	818	3296
V10880	116	601
V10881	657	182
V10882	781	3469
V10883	1208	1771
V10884	1103	3282
V10885	386	859
V10886	6202	21370
V10887	1906	2872
V10888	259	1601
V10889	83	1461
V10890	624	360
V10891	1611	707
V10892	1660	5221
V10893	1637	3630
V10894	1122	3987
V10895	1578	3482
V10896	707	1407
V10897	1	399
V10898	963	3660
V10899	909	1228
V10900	1553	4148
V10901	61	1588
V10902	3463	2199
V10903	1811	2856
V10904	771	1711
V10905	1701	4166
V10906	4816	8377
V10907	172602	3453
V10908	1720	3116
V10909	899	3753
V10910	155	827
V10911	233774	4152
V10912	550	2074
V10913	794	3444
V10914	808	2885
V10915	2595	3501
V10916	780	3772
V10917	1070	2201
V10918	822	2074
V10919	452	2179
V10920	9760	2933
V10921	611	2082
V10922	1298	4537
V10923	1395	3309
V10924	2707	2574
V10925	665	3158
V10926	756	2104
V10927	469	2001
V10928	966	3149
V10929	2804	198
V10930	1082	5900
V10931	364	2263
V10932	1177	3033
V10933	3132	6993
V10934	1434	3795
V10935	1274	3619
V10936	207252	4565
V10937	136	1660
V10938	1192	3683
V10939	571	2514
V10940	1412	3373
V10941	1429	2777
V10942	715	2732
V10943	1221	5051
V10944	2064	3655
V10945	432	1619
V10946	298	351
V10947	1476	3529
V10948	1216	5649
V10949	579	3500
V10950	1356	4134
V10951	1354	2605
V10952	1105	2808
V10953	2725	4072
V10954	966	3639
V10955	1151	3611
V10956	1522	3353
V10957	1207	3829
V10958	52	160
V10959	781	2488
V10960	771	2540
V10961	966	2566
V10962	1322	3362
V10963	1417	3496
V10964	1878	3469
V10965	3821	4544
V10966	1099	4052
V10967	1467	4135
V10968	26306	2483
V10969	1114	3656
V10970	1397	3525
V10971	1228	4101
V10972	1892	4609
V10973	1198	3867
V10974	4415	9967
V10975	1511	4284
V10976	767	2144
V10977	1735	5150
V10978	1101	2628
V10979	1492	4822
V10980	236427	9878
V10981	664	3119
V10982	961	2940
V10983	1148	3565
V10984	2737	6228
V10985	2277	5602
V10986	764	2000
V10987	1458	2009
V10988	2089	5243
V10989	300	1569
V10990	577	715
V10991	79760	3944
V10992	3024	9023
V10993	1618	4450
V10994	2124	4276
V10995	1101	981
V10996	1994	5038
V10997	1110	3256
V10998	613	2164
V10999	1016	3243
V11000	1908	5754
V11001	1405	3499
V11002	3293	9669
V11003	2147	4994
V11004	1796	5652
V11005	1752	5163
V11006	1329	6679
V11007	1201	4868
V11008	26716	3157
V11009	1854	5087
V11010	1291	3063
V11011	1904	5459
V11012	1732	5308
V11013	68002	3318
V11014	1173	3807
V11015	4888	4269
V11016	2152	5365
V11017	1695	4136
V11018	1279	4351
V11019	1771	4274
V11020	1707	4657
V11021	1892	3196
V11022	4364	2207
V11023	936	3343
V11024	2195	5911
V11025	1446	4886
V11026	1311	2889
V11027	304	385
V11028	2521	5333
V11029	283	1162
V11030	2804	4336
V11031	1389	3435
V11032	2146	6044
V11033	97990	2994
V11034	987	3358
V11035	968	3285
V11036	2008	6369
V11037	439	742
V11038	2434	5854
V11039	2992	3835
V11040	2145	4845
V11041	1180	3180
V11042	352534	6549
V11043	1677	4162
V11044	187284	4256
V11045	1004	4610
V11046	2101	5985
V11047	2256	7268
V11048	549	2898
V11049	1187	5987
V11050	1813	4424
V11051	1975	6046
V11052	1604	6366
V11053	806	3422
V11054	392	490
V11055	1464	4153
V11056	7025	5435
V11057	2510	5760
V11058	58956	2746
V11059	1676	4570
V11060	1683	5723
V11061	1658	6118
V11062	2259	6165
V11063	2309	6242
V11064	2837	7204
V11065	1522	3888
V11066	9156	2549
V11067	147282	4988
V11068	1458	1648
V11069	1759	5662
V11070	1557	4373
V11071	1097	3809
V11072	1979	5903
V11073	2164	5891
V11074	956	4983
V11075	2043	5420
V11076	5130	12886
V11077	1430	2802
V11078	2113	4600
V11079	363	402
V11080	2153	5861
V11081	1271	4298
V11082	1489	6176
V11083	815	2716
V11084	1774	4968
V11085	1432	4855
V11086	2622	5773
V11087	1528	3993
V11088	40	157
V11089	1369	2743
V11090	22114	4253
V11091	2960	6619
V11092	2098	6099
V11093	1536	4226
V11094	1445	4717
V11095	12017	2958
V11096	1092	3503
V11097	2328	5718
V11098	3011	5764
V11099	2279	5644
V11100	1085	3719
V11101	1693	5392
V11102	1400	5153
V11103	138	267
V11104	2571	4055
V11105	1520	4601
V11106	1970	5763
V11107	1698	4272
V11108	95	1002
V11109	1324	3757
V11110	2773	8234
V11111	132936	4274
V11112	1889	5308
V11113	1756	6073
V11114	1579	6346
V11115	2269	6028
V11116	1919	7498
V11117	1920	5746
V11118	1576	4880
V11119	3078	7625
V11120	2663	9120
V11121	981	4259
