	clarity	color	cut	depth	table	x	y	z
916	VS1	F	Ideal	61.1	55	6.76	6.82	4.15
917	VS2	G	Ideal	61.7	56	5.74	5.78	3.55
918	SI1	E	Good	63.9	57	6.31	6.34	4.04
919	VS2	E	Very Good	61.8	58	5.05	5.11	3.14
920	SI1	E	Fair	61.7	68	5.09	5.03	3.12
921	VS2	F	Ideal	60	57	4.7	4.76	2.84
922	VS2	H	Ideal	61.7	56	5.74	5.77	3.56
923	VS2	J	Ideal	61.3	57	6.47	6.54	3.99
924	VVS1	F	Ideal	62	59	4.42	4.45	2.75
925	SI1	H	Ideal	61.5	56	4.69	4.71	2.89
926	VS2	H	Ideal	61.3	56	5.91	5.94	3.63
927	VS1	G	Ideal	61.2	57	5.76	5.79	3.53
928	SI1	F	Ideal	62	54	6.41	6.49	4
929	SI2	H	Very Good	61.1	55.7	6.87	6.92	4.21
930	VS2	H	Very Good	61.4	60	7.49	7.44	4.58
931	VS2	E	Ideal	62.1	55	4.32	4.35	2.69
932	VS1	G	Very Good	61	56	5.17	5.19	3.16
933	VVS1	H	Very Good	61.7	56	4.4	4.43	2.72
934	VS2	H	Premium	60.3	61	6.39	6.25	3.81
935	SI2	H	Ideal	61.9	57	8.14	8.1	5.03
936	VS1	G	Very Good	63.4	59	7.25	7.19	4.58
937	VS2	E	Very Good	62.9	55	4.73	4.74	2.98
938	VS2	F	Premium	62.1	60	4.45	4.51	2.78
939	VS2	H	Premium	59.1	61	4.84	4.81	2.85
940	VVS1	H	Ideal	61.9	57	7.06	7.09	4.38
941	VS1	G	Good	63.6	55	4.29	4.26	2.72
942	VS2	H	Ideal	61.6	55	4.34	4.38	2.69
943	VVS2	I	Ideal	61.8	56	4.76	4.79	2.95
944	VS1	F	Very Good	61.8	59	5.15	5.22	3.21
945	SI2	E	Premium	61.3	59	6.64	6.58	4.05
946	SI2	H	Ideal	61.8	57	7	6.97	4.32
947	VS2	H	Very Good	59.2	61	7.78	7.82	4.62
948	SI1	H	Very Good	62.8	59	7.4	7.45	4.66
949	SI1	H	Premium	62.2	56	4.39	4.36	2.72
950	SI1	H	Premium	61.5	59	5.71	5.67	3.5
951	VVS1	E	Ideal	61.2	57	4.33	4.36	2.66
952	SI2	G	Premium	61.1	59	6.69	6.63	4.07
953	SI1	F	Very Good	63.1	57	6.37	6.33	4.01
954	IF	I	Ideal	60.8	57	4.6	4.64	2.81
955	VVS1	I	Ideal	61.6	55	5.26	5.3	3.25
956	VVS1	G	Ideal	62.3	55	5.31	5.25	3.29
957	SI2	H	Ideal	61.9	56	7.31	7.36	4.54
958	VVS1	G	Ideal	62.2	54.4	5.73	5.76	3.57
959	SI1	E	Premium	58.5	58	5.68	5.64	3.31
960	SI2	D	Very Good	63	55	4.25	4.26	2.68
961	VS1	E	Ideal	60.3	57	4.52	4.54	2.73
962	VS2	J	Ideal	62.4	53	4.79	4.83	3
963	SI1	F	Premium	60	59	4.45	4.42	2.66
964	VS2	D	Ideal	62.3	57	6.86	6.82	4.26
965	VS1	E	Ideal	62.2	54	6.43	6.46	4.01
966	VVS1	G	Very Good	61.6	56	4.24	4.27	2.62
967	VS1	F	Premium	60.1	58	5.56	5.48	3.32
968	SI1	E	Very Good	60.5	63	7.42	7.35	4.48
969	VS1	I	Good	63.2	56	4.28	4.33	2.72
970	VVS1	H	Very Good	62.5	58	6.77	6.82	4.25
971	SI1	F	Premium	60.3	58	6.43	6.47	3.89
972	VS1	J	Premium	62.5	60	8.14	8.09	5.07
973	VS1	G	Ideal	60.7	57	4.77	4.78	2.9
974	VS2	H	Premium	59.3	60	6.93	6.99	4.13
975	VVS2	H	Premium	62.4	57	4.83	4.78	3
976	SI1	F	Premium	62.3	58	6.89	6.84	4.28
977	VS1	G	Premium	60.9	60	6.45	6.42	3.92
978	VS2	G	Premium	61.5	59	4.33	4.35	2.67
979	VS2	D	Ideal	61.5	57	5.07	5.11	3.13
980	VS1	D	Ideal	61.2	57	6.7	6.72	4.1
981	VS1	G	Very Good	60.6	60	4.57	4.61	2.78
982	VS2	G	Ideal	61.7	57	6.44	6.49	3.99
983	VS1	G	Ideal	62	57	6.24	6.28	3.88
984	SI2	G	Very Good	63.5	55	8.03	7.93	5.07
985	VS2	I	Very Good	62.1	62	6.97	7.05	4.35
986	SI2	I	Very Good	59.6	57	6.6	6.62	3.94
987	VS1	G	Very Good	59.5	63	6.11	6.05	3.61
988	VS2	H	Very Good	59.7	64	6.45	6.48	3.86
989	VS1	H	Premium	61.5	58	6.96	6.98	4.29
990	VVS1	G	Very Good	62.1	59	6.36	6.39	3.96
991	VVS2	J	Premium	58.2	62	5.37	5.31	3.11
992	SI1	I	Ideal	61.3	55	4.6	4.64	2.83
993	VS2	D	Ideal	61.2	56	5.35	5.3	3.26
994	SI1	E	Good	63.6	58	6.65	6.77	4.27
995	VS1	F	Good	60	60.8	5.67	5.71	3.41
996	VS2	D	Very Good	60.5	58	4.76	4.82	2.9
997	VS1	I	Good	63.2	57	4.37	4.4	2.77
998	SI2	H	Premium	61	58	5.14	5.05	3.11
999	SI2	J	Fair	61	66	6.54	6.35	3.93
1000	VS2	G	Ideal	61.6	55	5.11	5.14	3.16
