	Cases	Deaths
R39191	10699	157
R39192	10778	160
R39193	10884	164
R39194	10980	166
R39195	11101	166
R39196	11153	169
R39197	11254	174
R39198	11303	177
R39199	11415	180
R39200	11475	182
R39201	11569	183
R39202	11621	187
R39203	11714	190
R39204	11802	194
R39205	11910	196
R39206	11992	201
R39207	12062	203
R39208	12112	203
R39209	12241	206
R39210	12325	210
R39211	12426	215
R39212	12541	215
R39213	12665	216
R39214	12774	219
R39215	12909	219
R39216	12997	220
R39217	13082	220
R39218	13230	222
R39219	13388	226
R39220	13612	227
R39221	13776	228
R39222	13967	230
R39223	14212	232
R39224	14396	233
R39225	14529	233
R39226	14769	234
R39227	14958	234
R39228	15079	235
R39229	15272	236
R39230	15447	238
R39231	15588	239
R39232	15742	241
R39233	15942	242
R39234	16129	244
R39235	16280	245
R39236	16423	248
R39237	16542	250
R39238	16658	251
R39239	16861	253
R39240	16999	255
R39241	17192	258
R39242	17400	261
R39243	17585	264
R39244	17721	265
R39245	17903	267
R39246	18027	269
R39247	18168	270
R39248	18306	273
R39249	18385	273
R39250	18442	277
R39251	18576	279
R39252	18676	282
R39253	18813	282
R39254	19015	284
R39255	19182	286
R39256	19333	286
R39257	19497	288
R39258	19651	290
R39259	19789	293
R39260	19945	295
R39261	20047	297
R39262	20246	298
R39263	20409	301
R39264	20563	301
R39265	20762	303
R39266	20892	304
R39267	21085	305
R39268	21306	306
R39269	21532	308
R39270	21724	311
R39271	21982	313
R39272	22219	313
R39273	22482	315
R39274	22657	316
R39275	22993	319
R39276	23226	321
R39277	23588	325
R39278	23871	328
R39279	24216	329
R39280	2	
R39281	2	
R39282	2	
R39283	2	
R39284	2	
R39285	2	
R39286	2	
R39287	2	
R39288	1	
R39289	1	
R39290	1	
R39291	1	
R39292	1	
R39293	1	
R39294	1	
R39295	1	
R39296	1	
R39297	1	
R39298	1	
R39299	1	
R39300	4	
R39301	4	
R39302	4	
R39303	4	
R39304	4	
R39305	4	
R39306	4	
R39307	4	
R39308	4	
R39309	4	
R39310	4	
R39311	4	
R39312	4	
R39313	4	
R39314	4	
R39315	4	
R39316	4	
R39317	4	
R39318	4	
R39319	4	
R39320	4	
R39321	4	
R39322	4	
R39323	4	
R39324	4	
R39325	4	
R39326	4	
R39327	4	
R39328	4	
R39329	4	
R39330	4	
R39331	4	
R39332	4	
R39333	4	
R39334	4	
R39335	4	
R39336	4	
R39337	4	
R39338	4	
R39339	4	
R39340	4	
R39341	4	
R39342	4	
R39343	4	
R39344	4	
R39345	4	
R39346	4	
R39347	4	
R39348	4	
R39349	4	
R39350	4	
R39351	4	
R39352	4	
R39353	4	
R39354	4	
R39355	4	
R39356	4	
R39357	4	
R39358	4	
R39359	4	
R39360	4	
R39361	4	
R39362	4	
R39363	4	
R39364	4	
R39365	4	
R39366	4	
R39367	4	
R39368	4	
R39369	4	
R39370	4	
R39371	4	
R39372	4	
R39373	4	
R39374	4	
R39375	4	
R39376	4	
R39377	4	
R39378	4	
R39379	4	
R39380	4	
R39381	4	
R39382	4	
R39383	4	
R39384	4	
R39385	4	
R39386	4	
R39387	4	
R39388	4	
R39389	4	
R39390	4	
R39391	4	
R39392	4	
R39393	4	
R39394	4	
R39395	4	
R39396	4	
R39397	4	
R39398	4	
R39399	4	
R39400	4	
R39401	4	
R39402	4	
R39403	4	
R39404	4	
R39405	4	
R39406	4	
R39407	4	
R39408	4	
R39409	4	
R39410	1	
R39411	1	
R39412	1	
R39413	1	
R39414	1	
R39415	2	
R39416	2	
R39417	2	
R39418	2	
R39419	2	
R39420	2	
R39421	2	
R39422	3	
R39423	3	
R39424	5	
R39425	5	
R39426	5	1
R39427	6	1
R39428	6	1
R39429	6	1
R39430	6	1
R39431	6	1
R39432	6	1
R39433	6	1
R39434	6	1
R39435	6	1
R39436	7	1
R39437	7	1
R39438	7	1
R39439	7	1
R39440	7	1
R39441	7	1
R39442	7	1
R39443	7	1
R39444	7	1
R39445	7	1
R39446	7	1
R39447	7	1
R39448	7	1
R39449	7	1
R39450	7	1
R39451	7	1
R39452	7	1
R39453	7	1
R39454	7	1
R39455	7	1
R39456	8	1
R39457	8	1
R39458	8	1
R39459	8	1
R39460	8	1
R39461	8	1
R39462	8	1
R39463	8	1
R39464	8	1
R39465	8	1
R39466	8	1
R39467	8	1
R39468	8	1
R39469	9	1
R39470	15	2
R39471	20	2
R39472	29	3
R39473	40	4
R39474	62	4
R39475	81	4
R39476	131	4
R39477	141	4
R39478	173	5
R39479	200	6
R39480	227	6
R39481	237	6
R39482	262	9
R39483	268	13
R39484	292	16
R39485	346	19
R39486	423	20
R39487	483	20
R39488	530	23
R39489	588	23
R39490	668	31
R39491	745	34
R39492	784	39
R39493	883	43
R39494	947	49
R39495	1049	55
R39496	1104	59
R39497	1162	61
R39498	1283	71
R39499	1439	74
R39500	1572	81
R39501	1682	83
R39502	1783	87
R39503	1887	91
R39504	2057	93
R39505	2223	95
R39506	2424	97
R39507	2621	102
R39508	2813	108
R39509	2984	111
R39510	3121	112
R39511	3292	114
R39512	3519	116
R39513	3739	119
R39514	3907	120
R39515	4025	121
R39516	4149	126
R39517	4237	128
R39518	4363	129
R39519	4472	129
R39520	4606	129
R39521	4705	129
R39522	4827	129
R39523	4879	130
R39524	4948	133
R39525	5024	135
R39526	5087	139
R39527	5126	144
R39528	5203	146
R39529	5275	147
R39530	5355	147
R39531	5446	147
R39532	5518	147
R39533	5564	149
R39534	5659	150
R39535	5710	151
R39536	5813	153
R39537	5873	155
R39538	5923	155
R39539	5985	155
R39540	6027	155
R39541	6067	156
R39542	6116	156
R39543	6151	156
R39544	6171	156
R39545	6208	156
R39546	6249	156
R39547	6273	156
R39548	6295	157
R39549	6310	157
R39550	6319	157
R39551	6323	157
R39552	6382	157
R39553	6418	157
R39554	6444	157
R39555	6444	157
R39556	6498	157
R39557	6510	157
R39558	6523	157
R39559	6555	157
R39560	6598	157
R39561	6622	157
R39562	6653	157
R39563	6676	157
R39564	6693	157
R39565	6701	157
R39566	6762	157
R39567	6789	157
R39568	6829	158
R39569	6848	158
R39570	6885	158
R39571	6894	158
R39572	6905	158
R39573	6928	158
R39574	6960	158
R39575	6977	158
R39576	6993	158
R39577	7012	158
R39578	7012	158
R39579	7016	159
R39580	7048	159
R39581	7075	159
R39582	7089	160
R39583	7106	160
R39584	7126	160
R39585	7134	160
R39586	7142	160
R39587	7165	160
R39588	7165	160
R39589	7191	161
R39590	7222	161
R39591	7266	161
R39592	7274	161
R39593	7276	161
R39594	7295	161
R39595	7319	161
R39596	7332	161
R39597	7346	161
R39598	7361	161
R39599	7365	161
R39600	7368	161
R39601	7384	161
R39602	7403	161
R39603	7425	161
R39604	7433	161
R39605	7457	161
R39606	7462	161
R39607	7464	161
R39608	7474	161
R39609	7488	161
R39610	7502	161
R39611	7505	161
R39612	7511	162
R39613	7517	162
R39614	7520	162
R39615	7523	162
R39616	7529	162
R39617	7535	162
R39618	7540	162
R39619	7548	163
R39620	7550	163
R39621	7550	163
R39622	7554	163
R39623	7565	163
R39624	7572	163
R39625	7585	163
R39626	7603	163
R39627	7607	163
R39628	7608	163
R39629	7621	163
R39630	7634	163
R39631	7638	163
R39632	7650	163
R39633	7662	163
R39634	7663	163
R39635	7664	163
R39636	7677	163
R39637	7680	163
R39638	7688	163
R39639	7700	163
R39640	7700	163
R39641	7703	163
R39642	7704	163
R39643	7704	163
R39644	7724	164
R39645	7744	164
R39646	7777	165
R39647	7804	165
R39648	7814	165
R39649	7820	165
R39650	7833	165
R39651	7848	165
R39652	7885	165
R39653	7900	165
R39654	7932	165
R39655	7948	165
R39656	7952	165
R39657	7979	165
R39658	7994	165
R39659	8010	167
R39660	8034	168
R39661	8075	169
R39662	8096	169
R39663	8128	169
R39664	8167	169
R39665	8193	169
R39666	8246	171
R39667	8288	171
R39668	8424	172
R39669	8458	172
R39670	8547	175
R39671	8601	177
R39672	8710	177
R39673	8863	179
R39674	9005	181
R39675	9181	182
R39676	9359	184
R39677	9516	188
R39678	9679	194
R39679	9876	197
R39680	10105	202
R39681	10268	210
R39682	10501	210
R39683	10780	222
R39684	10971	225
R39685	11135	228
R39686	11431	236
R39687	11629	244
R39688	11805	254
R39689	12046	264
R39690	12278	273
R39691	12418	281
R39692	12567	286
R39693	12745	290
R39694	12944	297
R39695	13118	301
R39696	13264	314
R39697	13516	321
R39698	13642	324
R39699	13778	330
R39700	13989	334
R39701	14191	339
R39702	14364	347
R39703	14581	349
R39704	14677	353
R39705	14794	358
R39706	14875	360
R39707	14981	367
R39708	15111	373
R39709	15214	378
R39710	15352	382
R39711	15429	383
R39712	15512	384
R39713	15611	387
R39714	15707	392
R39715	15794	395
R39716	15893	396
R39717	15963	400
R39718	15999	401
R39719	16039	402
R39720	16081	403
R39721	16147	405
R39722	16212	407
R39723	16266	410
R39724	16322	413
R39725	16357	416
R39726	16397	416
R39727	16421	417
R39728	16460	418
R39729	16506	419
R39730	16543	421
R39731	16576	421
R39732	16608	422
R39733	16635	422
R39734	16662	422
R39735	16689	423
R39736	16720	424
R39737	16740	425
R39738	16777	425
R39739	16792	425
R39740	16807	426
R39741	16827	427
R39742	16868	427
R39743	16902	427
R39744	16925	427
R39745	16954	427
R39746	16965	428
R39747	16974	430
R39748	16996	430
R39749	17016	431
R39750	17041	432
R39751	17058	433
R39752	17071	433
R39753	17083	434
R39754	17095	434
R39755	17110	435
R39756	17130	437
R39757	17158	439
R39758	17179	439
R39759	17187	439
R39760	17196	440
R39761	17207	441
R39762	17217	441
R39763	17235	441
R39764	17252	442
R39765	17267	442
R39766	17285	442
R39767	17309	442
R39768	3	
R39769	3	
R39770	12	
R39771	14	1
R39772	28	2
R39773	36	2
R39774	42	2
R39775	48	2
R39776	81	2
R39777	94	2
R39778	102	2
R39779	107	3
R39780	128	3
R39781	143	5
R39782	161	6
R39783	169	7
R39784	186	7
R39785	196	7
R39786	227	7
R39787	244	7
R39788	268	7
R39789	273	7
R39790	314	7
R39791	318	9
R39792	319	9
R39793	324	9
R39794	324	9
R39795	324	9
R39796	324	9
R39797	324	9
R39798	324	9
R39799	325	9
R39800	328	9
R39801	328	9
R39802	328	9
R39803	329	9
R39804	331	9
R39805	331	9
R39806	331	9
R39807	332	9
R39808	334	10
R39809	334	10
R39810	332	10
R39811	332	10
R39812	332	10
R39813	332	10
R39814	332	10
R39815	332	10
R39816	332	10
R39817	332	10
R39818	332	10
R39819	332	10
R39820	332	10
R39821	332	10
R39822	332	10
R39823	332	10
R39824	332	10
R39825	332	10
R39826	332	10
R39827	332	10
R39828	332	10
R39829	332	10
R39830	332	10
R39831	332	10
R39832	332	10
R39833	332	10
R39834	332	10
R39835	334	10
R39836	334	10
R39837	334	10
R39838	334	10
R39839	334	10
R39840	335	10
R39841	335	10
R39842	335	10
R39843	335	10
R39844	335	10
R39845	335	10
R39846	335	10
R39847	337	10
R39848	337	10
R39849	337	10
R39850	337	10
R39851	337	10
R39852	337	10
R39853	337	10
R39854	337	10
R39855	337	10
R39856	337	10
R39857	337	10
R39858	337	10
R39859	337	10
R39860	337	10
R39861	337	10
R39862	337	10
R39863	337	10
R39864	340	10
R39865	340	10
R39866	341	10
R39867	341	10
R39868	341	10
R39869	341	10
R39870	341	10
R39871	341	10
R39872	341	10
R39873	341	10
R39874	341	10
R39875	341	10
R39876	341	10
R39877	341	10
R39878	342	10
R39879	342	10
R39880	342	10
R39881	342	10
R39882	342	10
R39883	342	10
R39884	342	10
R39885	342	10
R39886	342	10
R39887	343	10
R39888	343	10
R39889	343	10
R39890	343	10
R39891	343	10
R39892	343	10
R39893	343	10
R39894	343	10
R39895	343	10
R39896	344	10
R39897	344	10
R39898	344	10
R39899	344	10
R39900	344	10
R39901	344	10
R39902	344	10
R39903	344	10
R39904	344	10
R39905	344	10
R39906	344	10
R39907	344	10
R39908	344	10
R39909	344	10
R39910	344	10
R39911	344	10
R39912	344	10
R39913	344	10
R39914	344	10
R39915	344	10
R39916	344	10
R39917	345	10
R39918	346	10
R39919	346	10
R39920	346	10
R39921	346	10
R39922	346	10
R39923	346	10
R39924	346	10
R39925	346	10
R39926	346	10
R39927	347	10
R39928	348	10
R39929	348	10
R39930	355	10
R39931	355	10
R39932	355	10
R39933	355	10
R39934	356	10
R39935	356	10
R39936	356	10
R39937	356	10
R39938	356	10
R39939	356	10
R39940	356	10
R39941	356	10
R39942	361	10
R39943	361	10
R39944	361	10
R39945	361	10
R39946	361	10
R39947	361	10
R39948	361	10
R39949	365	10
R39950	365	10
R39951	366	10
R39952	366	10
R39953	366	10
R39954	366	10
R39955	366	10
R39956	367	10
R39957	367	10
R39958	367	10
R39959	367	10
R39960	367	10
R39961	367	10
R39962	367	10
R39963	367	10
R39964	381	10
R39965	381	10
R39966	385	10
R39967	385	10
R39968	385	10
R39969	387	10
R39970	395	10
R39971	395	10
R39972	395	10
R39973	395	10
R39974	395	10
R39975	395	10
R39976	404	10
R39977	407	10
R39978	407	10
R39979	415	10
R39980	417	10
R39981	417	10
R39982	417	10
R39983	419	10
R39984	419	10
R39985	419	10
R39986	425	10
R39987	435	10
R39988	435	10
R39989	435	10
R39990	439	10
R39991	439	10
R39992	439	10
R39993	439	10
R39994	441	10
R39995	441	10
R39996	446	10
R39997	451	10
R39998	451	10
R39999	452	10
R40000	453	10
R40001	453	10
R40002	453	10
R40003	453	10
R40004	453	10
R40005	453	10
R40006	453	10
R40007	468	10
R40008	470	10
R40009	470	10
R40010	478	10
R40011	491	10
R40012	491	10
R40013	494	10
R40014	494	10
R40015	494	10
R40016	494	10
R40017	494	10
R40018	494	10
R40019	494	10
R40020	497	10
R40021	498	10
R40022	501	10
R40023	501	10
R40024	501	10
R40025	504	10
R40026	505	10
R40027	508	10
R40028	508	10
R40029	508	10
R40030	508	10
R40031	508	10
R40032	511	10
R40033	515	10
R40034	515	10
R40035	515	10
R40036	515	10
R40037	515	10
R40038	515	10
R40039	523	10
R40040	524	10
R40041	524	10
R40042	524	10
R40043	524	10
R40044	524	10
R40045	524	10
R40046	524	10
R40047	526	10
R40048	527	10
R40049	527	10
R40050	527	10
R40051	527	10
R40052	527	10
R40053	527	10
R40054	527	10
R40055	527	10
R40056	527	10
R40057	527	10
R40058	527	10
R40059	527	10
R40060	531	10
R40061	531	10
R40062	539	10
R40063	539	10
R40064	539	10
R40065	539	10
R40066	539	10
R40067	545	10
R40068	546	10
R40069	547	10
R40070	547	10
R40071	547	10
R40072	547	10
R40073	547	10
R40074	556	10
R40075	556	10
R40076	556	10
R40077	556	10
R40078	556	10
R40079	556	10
R40080	556	10
R40081	568	10
R40082	568	10
R40083	569	10
R40084	569	10
R40085	569	10
R40086	569	10
R40087	569	10
R40088	582	10
R40089	583	10
R40090	584	10
R40091	584	10
R40092	584	10
R40093	584	10
R40094	584	10
R40095	593	10
R40096	594	10
R40097	595	10
R40098	595	10
R40099	595	10
R40100	595	10
R40101	595	10
R40102	601	10
R40103	603	10
R40104	603	10
R40105	603	10
R40106	603	10
R40107	603	10
R40108	603	10
R40109	603	10
R40110	610	10
R40111	610	10
R40112	610	10
R40113	610	10
R40114	610	10
R40115	610	10
R40116	619	10
R40117	619	10
R40118	619	10
R40119	620	10
R40120	625	10
R40121	639	10
R40122		
R40123		
R40124		
R40125		
R40126		
R40127		
R40128		
R40129		
R40130		
R40131		
R40132		
R40133		
R40134		
R40135		
R40136		
R40137		
R40138		
R40139		
R40140		
R40141		
R40142		
R40143		
R40144		
R40145		
R40146		
R40147		
R40148		
R40149		
R40150		
R40151		
R40152		
R40153		
R40154		
R40155		
R40156		
R40157		
R40158		
R40159		
R40160		
R40161		
R40162		
R40163		
R40164		
R40165		
R40166		
R40167		
R40168		
R40169		
R40170		
R40171		
R40172		
R40173		
R40174		
R40175		
R40176		
R40177		
R40178		
R40179		
R40180	1	
R40181	4	
R40182	5	
R40183	5	
R40184	5	
R40185	5	
R40186	5	
R40187	6	
R40188	6	
R40189	7	
R40190	7	
R40191	7	
R40192	8	
R40193	12	
R40194	26	
R40195	41	
R40196	53	
R40197	82	
R40198	93	
R40199	118	
R40200	164	1
R40201	203	2
R40202	251	2
R40203	316	3
R40204	367	4
R40205	405	5
R40206	475	6
R40207	585	8
R40208	717	12
R40209	848	16
R40210	993	20
R40211	1094	28
R40212	1215	29
R40213	1378	37
R40214	1510	50
R40215	1688	60
R40216	1890	79
R40217	2143	94
R40218	2439	125
R40219	2785	141
R40220	3181	174
R40221	3441	194
R40222	3844	233
R40223	4219	273
R40224	4661	296
R40225	5014	332
R40226	5399	406
R40227	5847	449
R40228	6297	486
R40229	6875	546
R40230	7497	650
R40231	8261	686
R40232	8772	712
R40233	9501	857
R40234	10544	970
R40235	11633	1069
R40236	12872	1221
R40237	13842	1305
R40238	14677	1351
R40239	15529	1434
R40240	16752	1569
R40241	17799	1732
R40242	19224	1859
R40243	20739	1972
R40244	22088	2061
R40245	23471	2154
R40246	24905	2271
R40247	26025	2507
R40248	27634	2704
R40249	29616	2961
R40250	31522	3160
R40251	33460	3353
R40252	35022	3465
R40253	36327	3573
R40254	38324	3926
R40255	40186	4220
R40256	42595	4477
R40257	45032	4767
R40258	47144	5045
R40259	49219	5177
R40260	51633	5332
R40261	54346	5666
R40262	56594	6090
R40263	59567	6510
R40264	62527	6989
R40265	65856	7179
R40266	68620	7394
R40267	71105	7633
R40268	74560	8134
R40269	78023	8597
R40270	81400	9044
R40271	84627	9415
R40272	87512	9779
R40273	90664	9930
R40274	93435	10167
R40275	97326	10637
R40276	101238	11729
R40277	105680	12545
R40278	110026	13170
R40279	113619	13511
R40280	117103	13699
R40281	120102	14053
R40282	124301	14649
R40283	129184	15357
R40284	133974	15944
R40285	139196	16448
R40286	142690	16872
R40287	146837	17141
R40288	150264	17580
R40289	154863	18310
R40290	159793	19080
R40291	165455	19747
R40292	170485	20394
R40293	175202	20781
R40294	180545	21825
R40295	185122	22584
R40296	191410	23377
R40297	196847	24324
R40298	202951	25060
R40299	208392	25779
R40300	212802	26381
R40301	216852	26648
R40302	220657	27121
R40303	226089	27769
R40304	231770	28510
R40305	238511	29189
R40306	245251	29843
R40307	252165	30366
R40308	256848	30639
R40309	261750	31119
R40310	268008	32014
R40311	275003	32796
R40312	282283	33526
R40313	289174	34191
R40314	295268	34730
R40315	299750	35006
R40316	304435	35491
R40317	311486	36327
R40318	317635	36906
R40319	324041	37574
R40320	331298	38310
R40321	338913	38888
R40322	344224	39184
R40323	349396	39485
R40324	356255	40400
R40325	362274	41190
R40326	370712	41908
R40327	378285	42645
R40328	385036	43374
R40329	390516	43680
R40330	395489	44022
R40331	402697	44876
R40332	408449	45361
R40333	416179	46000
R40334	424637	46688
R40335	434193	47472
R40336	439046	47746
R40337	443813	48012
R40338	449961	48869
R40339	456100	49698
R40340	462690	50517
R40341	469407	51311
R40342	475902	52006
R40343	480278	52298
R40344	485836	53003
R40345	492522	53929
R40346	498380	54666
R40347	505751	55293
R40348	511369	55908
R40349	517714	56543
R40350	522162	56757
R40351	525733	57023
R40352	531239	57774
R40353	537031	58481
R40354	543806	59106
R40355	549734	59610
R40356	556216	60254
R40357	560164	60480
R40358	563705	60800
R40359	568621	61450
R40360	573888	62076
R40361	579914	62594
R40362	585738	63146
R40363	591712	63819
R40364	595841	64158
R40365	599560	64414
R40366	606036	65241
R40367	610957	65816
R40368	616894	66329
R40369	623090	66851
R40370	629409	67326
R40371	634023	67558
R40372	637509	67781
R40373	642860	68484
R40374	647321	69049
R40375	652364	69649
R40376	658299	70183
R40377	663973	70604
R40378	668381	70821
R40379	671716	71049
R40380	676487	71678
R40381	680931	71978
R40382	684113	72179
R40383	688954	72803
R40384	694121	73258
R40385	697663	73493
R40386	700580	73697
R40387	705263	74348
R40388	710049	74949
R40389	715457	75439
R40390	720858	75844
R40391	726431	76243
R40392	730317	76430
R40393	733717	76603
R40394	738163	77163
R40395	743216	77646
R40396	748315	78078
R40397	753090	78492
R40398	757953	78880
R40399	761665	79088
R40400	789780	81877
R40401	794608	82348
R40402	799188	82726
R40403	804488	83096
R40404	810020	83497
R40405	814328	83642
R40406	817503	83781
R40407	821045	83945
R40408	825340	84420
R40409	829396	84898
R40410	834910	85285
R40411	841661	85704
R40412	847108	86059
R40413	851227	86167
R40414	854926	86338
R40415	860714	86893
R40416	867559	87415
R40417	874171	87415
R40418	880775	88312
R40419	886800	88743
R40420	891160	88924
R40421	895326	89171
R40422	901268	89814
R40423	906863	90309
R40424	912811	90773
R40425	918811	91289
R40426	924962	91753
R40427	929392	91895
R40428	933155	92100
R40429	938405	92593
R40430	943630	93228
R40431	949197	93772
R40432	955128	94323
R40433	961938	94808
R40434	967825	95027
R40435	972785	95225
R40436	978531	95842
R40437	986177	96430
R40438	991835	97056
R40439	997393	97624
R40440	1003253	98259
R40441	1006522	98542
R40442	1009396	98861
R40443	1011153	99026
R40444	1015071	99528
R40445	1019543	100104
R40446	1025969	100823
R40447	1032688	101373
R40448	1041875	101676
R40449	1049358	101926
R40450	1060152	102739
R40451	1070487	103597
R40452	1078594	104242
R40453	1090675	104873
R40454	1101403	105459
R40455	1107071	105655
R40456	1113543	105940
R40457	1122362	106765
R40458	1133613	107565
R40459	1144643	108173
R40460	1156770	108863
R40461	1168395	109456
R40462	1175850	109717
R40463	1182249	110074
R40464	1193255	110874
R40465	1205229	111655
R40466	1217126	112326
R40467	1229379	113019
R40468	1241436	113704
R40469	1250044	113953
R40470	1255974	114298
R40471	1267202	115099
R40472	1277499	115769
R40473	1289298	116487
R40474	1301546	117249
R40475	1313675	117876
R40476	1320545	118202
R40477	1325915	118598
R40478	1338426	119495
R40479	1350079	120311
R40480	1362564	121172
R40481	1372243	121837
R40482	1377217	122026
R40483	1383434	122426
R40484	1389430	122855
R40485	1401529	123845
R40486	1413935	124897
R40487	1426094	125807
R40488	1437185	126507
R40489	1443544	126851
R40490	1448755	127213
R40491	1455219	127757
R40492	1466490	128822
R40493	1479835	129987
R40494	1493569	131031
R40495	1507931	132069
R40496	1524036	133204
R40497	1534039	133706
R40498	1541633	134368
R40499	1556028	135682
R40500	1571901	136917
R40501	1588369	137916
R40502	1609735	139022
R40503	1630258	140241
R40504	1641428	140704
R40505	1649502	141248
R40506	1668396	142832
R40507	1688944	144371
R40508	1711283	146174
R40509	1732290	147614
R40510	1752347	149084
R40511	1763219	149614
R40512	1771740	150273
R40513	1788905	152016
R40514	1806849	153639
R40515	1825519	155145
R40516	1841893	156579
R40517	1857230	158074
R40518	1864260	158536
R40519	1869708	159100
R40520	1874092	159533
R40521	1886245	161240
R40522	1886245	161240
R40523	1912871	164290
R40524	1926080	165786
R40525	1932145	166200
R40526	1936013	166731
R40527	1946751	168432
R40528	1957889	169760
R40529	1968566	171234
R40530	1978954	172557
R40531	1988695	173771
R40532	1992794	174207
R40533	1995892	174657
R40534	2004575	175986
R40535	2013563	177061
R40536	2022662	178108
R40537	2030491	178965
R40538	2038276	179797
R40539	2041380	180107
R40540	2043632	180536
R40541	2052266	181809
R40542	2060908	182815
R40543	2069370	183692
R40544	2076882	184474
R40545	2084128	185257
R40546	2086938	185715
R40547	2089281	186152
R40548	2097194	187187
R40549	2104987	188044
R40550	2112508	188866
R40551	2119305	189578
R40552	2125866	190357
R40553	1	
R40554	1	
R40555	1	
R40556	1	
R40557	1	
R40558	1	
R40559	1	
R40560	1	
R40561	1	
R40562	1	
R40563	1	
R40564	1	
R40565	1	
R40566	1	
R40567	1	
R40568	1	
R40569	1	
R40570	1	
R40571	1	
R40572	1	
R40573	1	
R40574	1	
R40575	1	
R40576	1	
R40577	1	
R40578	1	
R40579	1	
R40580	1	
R40581	1	
R40582	1	
R40583	1	
R40584	1	
R40585	1	
R40586	1	
R40587	1	
R40588	1	
R40589	1	
R40590	1	
R40591	1	
R40592	1	
R40593	1	
R40594	1	
R40595	1	
R40596	1	
R40597	1	
R40598	1	
R40599	1	
R40600	3	
R40601	3	
R40602	3	
R40603	6	
R40604	12	
R40605	23	
R40606	23	
R40607	30	
R40608	30	1
R40609	49	1
R40610	66	1
R40611	80	1
R40612	94	1
R40613	109	1
R40614	125	1
R40615	149	1
R40616	177	1
R40617	199	2
R40618	231	2
R40619	263	2
R40620	298	2
R40621	353	4
R40622	423	5
R40623	505	6
R40624	591	8
R40625	752	12
R40626	864	15
R40627	965	19
R40628	1056	22
R40629	1174	27
R40630	1289	29
R40631	1438	29
R40632	1560	30
R40633	1662	31
R40634	1712	35
R40635	1934	40
R40636	2049	46
R40637	2154	54
R40638	2264	56
R40639	2378	57
R40640	2472	67
R40641	2548	70
R40642	2614	72
R40643	2778	75
R40644	2926	80
R40645	3110	84
R40646	3304	94
R40647	3408	96
R40648	3481	102
R40649	3638	103
R40650	3771	111
R40651	3897	116
R40652	3980	122
R40653	4052	124
R40654	4121	125
R40655	4248	132
R40656	4363	136
R40657	4476	143
R40658	4605	145
R40659	4728	150
R40660	4867	161
R40661	4927	169
R40662	4995	175
R40663	5154	182
R40664	5406	185
R40665	5553	194
R40666	5745	202
R40667	5934	207
R40668	6060	211
R40669	6138	217
R40670	6340	221
R40671	6553	228
R40672	6704	233
R40673	6847	237
R40674	6994	242
R40675	7093	250
R40676	7147	261
R40677	7305	267
R40678	7537	274
R40679	7725	282
R40680	7896	288
R40681	8098	291
R40682	8251	295
R40683	8360	305
R40684	8548	307
R40685	8795	310
R40686	9018	315
R40687	9247	323
R40688	9511	331
R40689	9700	341
R40690	9807	353
R40691	10025	365
R40692	10321	371
R40693	10727	375
R40694	11093	385
R40695	11459	398
R40696	11740	406
R40697	11879	411
R40698	12254	423
R40699	12732	433
R40700	13106	444
R40701	13556	450
R40702	13953	464
R40703	14200	473
R40704	14363	480
R40705	14714	490
R40706	15078	495
R40707	15453	502
R40708	15776	515
R40709	16080	521
R40710	16250	530
R40711	16357	536
R40712	16613	545
R40713	16898	549
R40714	17150	560
R40715	17445	572
R40716	17672	580
R40717	17814	585
R40718	17906	592
R40719	18141	603
R40720	18471	614
R40721	18666	624
R40722	18924	635
R40723	19208	640
R40724	19382	642
R40725	19439	649
R40726	19708	655
R40727	20040	659
R40728	20264	666
R40729	20494	675
R40730	20794	680
R40731	20980	684
R40732	21115	695
R40733	21442	707
R40734	21798	712
R40735	22105	719
R40736	22483	726
R40737	22828	732
R40738	23034	735
R40739	23154	748
R40740	23521	753
R40741	23947	759
R40742	24343	771
R40743	24733	778
R40744	25113	788
R40745	25362	791
R40746	25482	800
R40747	25814	810
R40748	26222	823
R40749	26628	828
R40750	26990	835
R40751	27443	841
R40752	27660	845
R40753	27841	850
R40754	28223	857
R40755	28697	863
R40756	29087	878
R40757	29483	884
R40758	29905	895
R40759	30183	896
R40760	30377	908
R40761	30789	908
R40762	31415	914
R40763	31937	921
R40764	32484	929
R40765	33072	935
R40766	33478	940
R40767	33828	945
R40768	34358	960
R40769	34982	967
R40770	35546	977
R40771	35904	981
R40772	36404	990
R40773	36700	992
R40774	36920	995
R40775	37208	1008
R40776	37740	1024
R40777	38372	1036
R40778	38906	1047
R40779	39473	1063
R40780	39797	1063
R40781	40055	1074
R40782	40556	1087
R40783	41144	1096
R40784	41704	1106
R40785	42183	1114
R40786	42714	1117
R40787	42978	1123
R40788	43207	1129
R40789	43734	1143
R40790	44361	1159
R40791	44983	1170
R40792	45648	1186
R40793	46336	1201
R40794	46596	1203
R40795	46796	1211
R40796	47446	1230
R40797	48232	1244
R40798	48953	1252
R40799	49666	1264
R40800	50534	1279
R40801	50875	1287
R40802	51194	1301
R40803	52029	1310
R40804	53042	1320
R40805	54064	1336
R40806	55016	1344
R40807	55888	1353
R40808	56579	1366
R40809	56901	1375
R40810	57732	1389
R40811	58794	1406
R40812	59915	1424
R40813	60833	1442
R40814	61762	1458
R40815	62151	1461
R40816	62618	1478
R40817	63275	1495
